"family.id","legacy.source","legacy.symbols","evidence","decision","canonical.owner","implementation.status","parity.or.retirement.record","next.gate"
"g1-g7","gflow historical smoothing archive","dgp.g1 through dgp.g7","Frozen 16-case G1-G7 fixture and maintained geosmooth compatibility surface","migrate with deprecated thin wrappers","geosmooth","implemented","tests/fixtures/g1_g7_legacy_parity_v1.rds; test-synthetic-legacy-parity.R","Remove wrappers only after maintained consumers are absent"
"ssrhe-regression-suite","trend_filtering/development/ssrhe_hessian_energy/ssrhe_order3_l1_validation_helpers.R","make.1d.dataset; make.flat.dataset; make.quadform.dataset; materialize.dataset; dataset.row","Maintained SSRHE validation helper and 846 frozen parity cases","migrate registry and primary consumer adapter","geosmooth","implemented","tests/fixtures/ssrhe_legacy_parity_v1.rds; test-synthetic-legacy-ssrhe.R","Migrate secondary scripts only after their distinct seed policies are frozen"
"quadform-geometry","deleted gflow experimental geodesics","quadform.embed; quadform.gradient; quadform.metric; quadform.edge.lengths","Required by conditional-expectation benchmark geometries","migrate analytic geometry and tests","geosmooth","implemented","test-synthetic-geometry-quadform.R","Keep optional reference geodesics separate from deployable generator API"
"gaussian-mixture-truth","gflow/R/synthetic_data_utils.R","synthetic.mixture.of.gaussians; circular.synthetic.mixture.of.gaussians; higher-dimensional mixture helpers","Used by maintained regression suites and occupation calibration","migrate reusable truth component","geosmooth","implemented-core","synthetic.truth.gaussian.mixture tests in test-synthetic-api.R and SSRHE parity suite","Freeze circular wrapping and remaining spline/bump formulas before porting them"
"circle-geometry","gflow/R/synthetic_data_utils.R","generate.circle; noise-free and random-angle portions of generate.circle.data","Multiple maintained research consumers; distinct one-dimensional closed geometry","migrate draw-free geometry and interval samplers","geosmooth","implemented-noise-free","test-synthetic-curves.R verifies exact grid formula and legacy base-R random angles","Define predictor-perturbation component and freeze Gaussian/Laplace noisy outputs before retiring old noisy generator"
"trefoil-knot","gflow/R/synthetic_data_utils.R","generate.trefoil.knot","Maintained msr2 research consumers; distinct knot geometry","migrate draw-free geometry and interval samplers","geosmooth","implemented-core","test-synthetic-curves.R verifies exact historical formula and endpoint convention","Freeze random-angle cases and migrate consumers before deleting legacy helper"
"other-torus-knots","gflow/R/synthetic_data_utils.R","v1.torus.knot; torus.knot","Two incompatible formulas and no single accepted canonical contract","retain provenance pending scientific choice","undecided","pending-decision","This ledger records both formulas; no retirement claim","Choose intended knot definition and freeze representative outputs"
"mixed-gaussian-line","gflow/R/generate_knn_example_data.R","generate.mixed.points; mixed.points.plot","Live gradient_flow research consumer; tests heterogeneous local dimension","migrate statistical sampler; use shared plot method","geosmooth","approved-pending","Legacy algorithm and live-consumer paths recorded in architecture report","Freeze rounding, row order, labels, and zero-allocation edge cases before implementation"
"stratified-point-line","gflow historical G4 and proposed nonmanifold fixtures","G4 segment/rectangle generator; point-line construction","G4 parity surface and distinct nonmanifold geometry role","migrate draw-free strata and G4 compatibility path","geosmooth","implemented-core","test-synthetic-legacy-parity.R; synthetic.point.line.junction component tests","Do not claim mixed Gaussian-line parity from the deterministic point-line constructor"
"clustered-data","gflow/R/synthetic_data_utils.R and historical G5","generate.clustered.data; G5 clustered design","G5 maintained compatibility surface; generic legacy helper has unequal-size covariance options","migrate fixed equal-size benchmark component; assess generic helper separately","geosmooth","implemented-g5-subset","G5 parity cases in test-synthetic-legacy-parity.R","Freeze unequal cluster sizes, supplied means, covariance handling, and dimensions before broader migration"
"occupation-mixture","gflow application calibration code","Gaussian-mixture density to Bernoulli occupation probability","Distinct conditional-probability benchmark with finite-design normalization","migrate truth and Bernoulli response components","geosmooth","implemented","test-synthetic-occupation.R","Application project retains domain interpretation; migrate consumer after its seed policy is frozen"
"compositional-zeros","gflow historical G7","Dirichlet compositions with structural zeros","Maintained G7 compatibility surface and distinct compositional regression role","migrate simplex geometry and structural-zero sampler","geosmooth","implemented","G7 parity and breaking-contract cases in test-synthetic-legacy-parity.R","Retain documented empty-zero-parts breaking exclusion"
"star-response-assembly","gflow/R/graph_generators.R","generate.star.dataset","Live older gradient_flow and msr2 consumers; combines topology, embedding, signal, and noise","split topology from statistical assembly","dgraphs plus geosmooth","approved-pending","Legacy source and consumer evidence recorded in architecture report","Specify dgraphs graph object, vertex sampling, signal coordinates, and exact seed order before implementation"
"spline-and-bump-truths","gflow/R/synthetic_data_utils.R","synthetic.xD.spline; synthetic.1D.spline; compact and asymmetric bump helpers","Reusable scientific role but heterogeneous closures and incomplete deterministic contracts","migrate named serializable evaluators family by family","geosmooth","approved-pending","Legacy symbols and source retained; no retirement claim","Inventory live consumers and freeze formula, knot ordering, boundary, and normalization behavior"
"random-sampling-primitives","gflow/R/random_sampling.R","Laplace; simplex; sphere; torus; empirical-density samplers","Implementation support, not a coherent public scientific API","keep private when required; do not bulk-export","geosmooth or statistical utility owner by consumer","partial-private","Canonical response and simplex paths have focused tests; remaining helpers retained pending consumer audit","Move only primitives required by an accepted maintained family"
"basin-complex-fixtures","gflow/R/synthetic_data_utils.R and basin tests","test.graph.MS.cx.on.synth.cloud.data and tailored Morse-Smale fixtures","Directly exercises basin/complex behavior excluded from this cleanup","retain local test fixtures","gflow","out-of-scope","Architecture report explicitly excludes basin construction and related fixtures","Move installed helper to test helper only when basin code is next touched"
